,,Iniciativa,Iniciativa,Iniciativa,Iniciativa,Instituições,Instituições,Instituições,Instituições,Instituições,Índice de Cultura
,,Pesquisas pelo Termo Empreendedora,Pesquisas pelo Termo Empreendedorismo,Pesquisas pelo Termo MEI,Índice de Iniciativa,Pesquisas por Sebrae,Pesquisas por Franquia,Pesquisas por SIMPLES Nacional,Pesquisas por Senac,Índice de Instituições,
Município,UF,,,,,,,,,,
Limeira,SP,0,0,0,5.77842627173879,0,0,0,14,6.427603664463622,6.124881844123562
Camaçari,BA,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Santarém,PA,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Petrópolis,RJ,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Mossoró,RN,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Suzano,SP,0,0,0,5.77842627173879,54,0,0,0,6.508773654234612,6.17408177204148
Taboão da Serra,SP,0,24,0,11.674809311011256,40,36,0,16,9.613580347320722,11.630013049808156
Várzea Grande,MT,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Sumaré,SP,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Marabá,PA,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
Gravataí,RS,0,0,0,5.77842627173879,0,0,0,18,6.7174407861569145,6.300562111368628
Santa Maria,RS,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.510000908765832
