"","Município","UF","Índice de Acesso a Capital","Índice de Ambiente Regulatório","Índice de Capital Humano","Índice de Cultura","Índice de Infraestrutura","Índice de Inovação","Índice de Mercado","Indíce Cidades Empreendendoras 2023"
"20","Natal","RN",5.83411509797422,4.078015953501,6.61480755843004,6.17408177204148,5.06874351650203,5.62005199202508,5.05374867243793,3.3702914992659
"21","Teresina","PI",5.81505815287637,5.55227277196831,7.16430493659881,6.84518056797484,5.73922568225926,4.99416301948134,5.13307269407381,5.39539244131612
"22","São Bernardo do Campo","SP",6.04557096042171,5.78812476749736,6.97431599333435,6.16880191093483,6.99938054256554,7.53079450602452,7.04180031783628,7.30294417328775
"23","João Pessoa","PB",5.88986498334466,6.48143046951546,6.50894983711203,6.16178397827712,5.09928327734177,6.02260558205387,5.03418743028965,5.62917180208718
"24","Nova Iguaçu","RJ",5.45914026097378,6.57877463707769,5.75027385018626,5.51000090876583,5.62559577133152,4.70744854374767,4.79671207994792,4.85582770181781
"25","São José dos Campos","SP",5.77761469791409,6.0697283169285,7.07995170400385,7.93982958541211,6.36047818348694,7.8051895611862,6.53839188827947,8.68422377424307
"26","Santo André","SP",5.8929479289223,5.8909441814145,7.14349274492871,6.89891756891202,6.39762756727306,7.39043357919112,6.13228606535656,7.21250527145997
"27","Ribeirão Preto","SP",6.46670526071322,5.72368263246067,6.56253518338495,5.51000090876583,6.5932191148188,6.5901861520095,6.49718637117221,5.93771767845436
"28","Jaboatão dos Guararapes","PE",5.37188503969313,6.71412447118027,3.98313929237082,5.51000090876583,5.41221516632224,4.85215010927871,4.95822901146313,5.14081605406836
"29","Uberlândia","MG",5.97379296451254,6.46256569462872,6.61680783827913,5.51000090876583,7.16027842556639,6.59680582191717,5.93081072971087,6.40610747667962
"30","Osasco","SP",10.2779085082901,5.68589029937982,6.14370548968031,6.0809617773123,6.14029877840459,6.82422434245419,7.45361403369661,6.93805030358823
"31","Sorocaba","SP",5.85429409302311,4.71016289293232,6.77688738867028,6.0809617773123,7.3147652641388,7.09806406355452,6.97794609029918,6.21219393417275
"32","Contagem","MG",5.63494325253175,7.24576355573665,5.38104295001686,5.51000090876583,5.48267623930466,5.45353993717555,5.79593879577893,6.2862555931271
"33","Aracaju","SE",6.13617251968996,5.13803883781871,5.78564709111992,6.86274946998539,4.94671335081439,5.14658064916967,4.78185269596825,4.64795309856388
"34","Feira de Santana","BA",5.6448448588734,6.15196690030733,6.07332869789724,5.51000090876583,5.05824754394571,5.07145181887332,4.9819454916718,4.48829941705458
"35","Cuiabá","MT",6.2686489755791,5.995544228638,6.47097281767168,6.22327294709893,7.11300587778665,5.67120279429706,5.72080071138543,6.24958620663701
"36","Joinville","SC",5.87886354907312,7.61848331140844,7.08800168213314,5.51000090876583,5.94942675188761,7.30925039216491,7.10926746705208,8.02349889968609
"37","Aparecida de Goiânia","GO",5.38872686014475,8.04186325601588,4.4691783757778,5.99312164368976,6.27306168218065,5.35244014150477,5.42914067721894,7.46335167787447
"38","Londrina","PR",6.24685630212811,7.08826852400137,6.27628322054694,5.51000090876583,6.66329625737981,6.47669647406661,5.95401586752912,6.81457019065454
"39","Juiz de Fora","MG",5.8662076504912,4.62019758625068,6.87037398348611,5.51000090876583,6.63927673060595,5.84885753968843,5.76073770363157,4.27191841983242
"40","Porto Velho","RO",5.70869263096126,7.35340318592044,5.05461749974411,5.51000090876583,5.4592520404013,6.7593527007205,5.29715559853551,6.36849387058299
"41","Ananindeua","PA",5.44121755092714,4.79405301951676,4.86465809859711,6.24786853462766,4.12849087326419,4.70834542444312,5.41242022126033,3.90224039449333
"42","Serra","ES",5.41621633171999,7.04251298546235,5.57127835435326,5.51000090876583,5.25042555518978,5.75841907639685,6.7037900706193,6.71389281362389
"43","Caxias do Sul","RS",5.87833839730206,6.47940712901764,6.00681450561709,5.51000090876583,5.773709575995,7.76977458421198,7.7388137700364,7.52824443097305
"44","Macapá","AP",5.58216915434791,7.81426402321276,5.37453784497868,7.24398107668067,5.24122054515489,4.76795338183238,5.31816935439848,7.80393411460525
"45","Niterói","RJ",6.05932521020961,7.62191599967941,7.2161535582984,5.51000090876583,5.85414966336759,6.7243520151307,9.19448041784758,9.25925371585498
"46","Florianópolis","SC",7.13965532094316,6.7799509496207,9.11135779841218,5.51000090876583,6.97821010678115,8.05765486740403,6.18289412569654,7.02325488665153
