,Município,UF,Índice de Acesso a Capital,Rank Acesso a Capital,Índice de Ambiente Regulatório,Rank Ambiente RegulatÃ³rio,Índice de Capital Humano,Rank Capital Humano,Índice de Cultura,Rank Cultura,Índice de Infraestrutura,Rank Infraestrutura,Índice de Inovação,Rank InovaÃ§Ã£o,Índice de Mercado,Rank Mercado,Índice Cidades Empreendendoras 2023,Rank ICE 23
97,Várzea Grande,MT,5.503887661,82,5.572129638,68,5.232246231,80,5.941966767,57,5.778529757,58,5.16284112,79,5.628901301,63,5.390544974,79
75,Petrolina,PE,5.55725367,73,5.068438943,85,6.029573914,53,6.384456839,31,4.367936376,99,4.745229031,92,5.282229846,75,5.381085698,80
50,Mauá,SP,5.518399595,79,6.301272929,37,5.282113158,79,4.802239157,93,5.902515809,51,5.944958215,49,5.898405911,55,5.294521229,81
39,Juiz de Fora,MG,5.86620765,39,4.559083564,95,6.870373983,22,5.608656237,76,6.58736026,23,6.000325883,47,6.260121931,41,5.267213698,82
87,Guarujá,SP,5.559973976,72,6.317668774,35,5.497371384,70,5.188448796,87,7.576837194,6,5.78139803,55,4.917917695,87,5.23759824,83
72,Caruaru,PE,5.589178202,68,5.032124825,87,6.186392534,46,6.202452161,40,4.525251517,96,4.957963013,83,4.637915993,92,5.152100932,84
28,Jaboatão dos Guararapes,PE,5.37188504,98,6.157065421,44,3.983139292,99,6.009837567,51,5.791785685,56,4.743071112,93,4.344439279,99,5.137362421,85
66,Olinda,PE,5.436158844,90,5.077490538,83,5.498267332,69,5.723743225,70,5.897861156,52,5.43057484,72,5.626535529,64,5.10061344,86
61,Montes Claros,MG,5.66554632,57,5.058259015,86,6.42871169,35,5.50127075,82,5.342378432,75,5.059047526,80,5.215982579,77,4.977708846,87
52,São José do Rio Preto,SP,6.242117713,17,6.051192079,50,7.068270397,17,3.412712109,101,5.772922233,59,7.059718667,17,6.030546952,48,4.962771531,88
48,Campos dos Goytacazes,RJ,5.542186899,77,6.21727282,41,6.201373671,45,3.412712109,101,4.985671995,86,5.397383964,73,6.897133457,20,4.823222849,89
98,Sumaré,SP,5.510656538,81,5.225827258,77,4.204711634,97,4.747581552,94,5.921248656,50,5.519860532,68,6.419929315,36,4.721885715,90
80,Vitória da Conquista,BA,5.647900517,59,5.170415466,82,6.065826632,50,5.365662802,84,4.443168294,98,4.802413989,90,4.268122825,100,4.649335334,91
73,Caucaia,CE,5.346871898,99,5.8713612,58,3.040317113,101,5.338814039,85,4.690415974,94,5.05321293,81,4.550970318,95,4.647399483,92
47,Belford Roxo,RJ,5.30643972,101,5.991977178,53,3.348019931,100,5.688057636,74,6.059372124,44,4.54004431,97,3.843300791,101,4.642656797,93
96,Taboão da Serra,SP,5.534607874,78,5.222467795,78,5.824631937,60,4.402405457,95,6.344772445,32,6.028768553,44,5.481241801,69,4.551113472,94
51,São João de Meriti,RJ,5.414282169,93,4.769034304,93,4.907598985,89,5.839021183,63,5.602698413,67,4.632372831,96,4.411450284,98,4.534158096,95
81,Ribeirão das Neves,MG,5.308741987,100,5.290676285,74,4.171930171,98,5.101001778,89,4.942915158,87,4.393604928,100,4.955641229,85,4.391067946,96
67,Cariacica,ES,5.447985915,88,6.507262118,25,5.500333914,68,3.412712109,101,5.336142036,76,4.837975689,87,5.313707412,74,4.368614031,97
69,Itaquaquecetuba,SP,5.376136787,96,4.45373826,97,4.866973546,90,4.881470595,91,7.307659272,12,5.640707225,60,5.082527305,83,4.143469127,98
13,Guarulhos,SP,5.631498336,64,5.070033639,84,5.336108405,76,3.412712109,101,7.5550945,7,6.090814561,40,6.34518281,38,4.11924845,99
70,São Vicente,SP,5.574903121,71,4.312606595,99,5.112321921,83,4.879943545,92,5.605447942,66,4.517833596,98,4.964528769,84,3.991260662,100
64,Carapicuíba,SP,5.372674475,97,2.833766686,101,5.19184046,82,3.412712109,101,6.040755247,46,5.540525828,65,4.689862534,89,2.564288224,101
