,,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tributação,Tributação,Tributação,Tributação,Tributação,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Índice de Ambiente Regulatório
,,Tempo de Viabilidade de Localização,"Tempo de Registro, Cadastro e Viabilidade de Nome",Taxa de Congestionamento em Tribunais,Índice de Tempo de Processos,Alíquota Interna do ICMS,Alíquota Interna do IPTU,Alíquota Interna do ISS,Qualidade de Gestão Fiscal,Índice de Tributação,Simplicidade Tributária,CNDs Municipais,Atualização de Zoneamento,Índice de Complexidade Burocrática,
Uberlândia,MG,0.24658192452168806,0.34230399524871796,1.0485991560456605,5.8041484308706,105.66886541093936,337.6553433571263,105.66886541093936,0.8078222102128141,6.578336166255263,0.02079041946280333,1,0.1111111111111111,6.246270211795991,6.462565694628715
Osasco,SP,0.046106971511677454,0.07872317859510082,1.0134403108609868,5.094532732936641,69.24219284566692,212.21448777927523,69.24219284566692,0.7467018437200863,5.537140718845769,0.061824171407599486,1,0.023809523809523784,6.941364525120603,5.685890299379825
Sorocaba,SP,0.022225926669021352,0.04784177509682653,1.0118944297224448,5.058968753171703,73.73989520748474,170.43264109498537,73.73989520748474,0.6959321684116392,5.417526302933743,0.026466962401195764,1,0.0,5.770259311518795,4.710162892932324
Contagem,MG,0.044057674919495644,0.24876994196739435,1.047207441591199,5.755742470794713,140.11847419019674,68.88262413990283,140.11847419019674,0.8747791808184779,6.710158226300609,0.056551831997769864,1,0.09999999999999991,7.227436780249859,7.245763555736654
Aracaju,SE,0.05190795344136369,4.4150415414880975,1.0548557366002762,6.801332184003934,52.3765923305666,66.16487074247922,52.3765923305666,0.7918883311863055,5.007512032483181,0.04252494884446028,0,0.0,5.01951198865609,5.138038837818709
Feira de Santana,BA,0.02383928774144185,0.16565548967795893,1.0355196957777508,5.521370017498462,96.01857094766808,143.6195569473669,115.88796983664588,0.8218367302529086,6.174555382971401,0.018854051185414757,1,0.16666666666666666,6.510639678771209,6.151966900307331
Cuiabá,MT,0.102505872015258,1.9270387405271425,1.059864414334445,6.35463420334,58.48905966761142,90.23320379938016,58.48905966761142,0.5208206963202533,4.6133813156467625,0.02989365812330948,1,0.2,7.025927854454357,5.995544228637997
Joinville,SC,0.013685531030971438,3.773232413697808,1.0421265157894575,6.426254854913888,109.31886471611242,164.969778021774,109.31886471611242,0.672978039291889,5.977428395211798,0.029894400823209873,1,0.3333333333333333,7.7962835373479065,7.618483311408442
Aparecida de Goiânia,GO,0.06767043744564173,6.639326143503912,1.113345530929576,8.365629578335845,133.28040149614816,88.25584973761518,133.28040149614816,0.8715594383877339,6.628157254035452,0.026857334353738913,1,0.0,5.781670483829611,8.041863256015883
Londrina,PR,0.04981998133333391,5.63485495975017,1.0246869417101165,6.508206019211256,71.65211108947152,51.694185628080675,71.65211108947152,0.7575425846892491,5.240119118265735,0.05401162143991395,1,0.2,7.730932999928507,7.088268524001375
Juiz de Fora,MG,0.024853130998642156,0.27923226829975756,1.0419459411933685,5.664845519631087,91.80341471740459,90.3195943561728,91.80341471740459,0.7816736476910847,5.727077580984735,0.026894738213683843,0,0.029411764705882065,4.732543514438225,4.620197586250677
Porto Velho,RO,0.08515554074327815,8.624721049666645,1.061103342185911,7.830741661980689,112.2148615963843,480.89785893132085,112.2148615963843,0.537759327170871,6.461926505530353,0.009416978969737706,1,0.047619047619047616,5.546981359980763,7.353403185920438
Ananindeua,PA,0.02629706320314114,0.12337497610406599,1.0304766403830143,5.41898095824932,112.93123428858578,366.44972977962334,112.93123428858578,0.8678044057742756,6.8922354312453535,0.009343522304168912,0,0.0,4.049567879446315,4.794053019516758
Serra,ES,0.14022305034084528,6.660192360862276,1.0355492243073101,6.932603292026344,110.78101770801803,303.1180742174163,110.78101770801803,0.9177947758131654,6.8146205516483365,0.023031650129422744,1,0.0,5.669839852540554,7.042512985462354
Caxias do Sul,RS,0.033963291537708426,4.529737791230406,1.0383794133114117,6.521373696978074,119.85561803084951,173.8318021326484,119.85561803084951,0.8655144697723094,6.574694911537263,0.019122807428930834,1,0.0,5.555578371149271,6.479407129017644
Macapá,AP,0.05206518470794872,5.620080074117244,1.0549432501601002,7.064446726812291,162.4735660081365,857.3084026106723,162.4735660081365,0.39351611197902553,7.88826016386566,0.005326326482235626,1,0.06250000000000029,5.513380072741493,7.81426402321276
Niterói,RJ,0.0601513993201248,4.31906296921393,1.0259415573444624,6.245996107984676,128.13559478144745,97.90760463432407,128.13559478144745,0.939270134582893,6.698887795088345,0.02801027321382503,1,0.24999999999999978,7.259748857867609,7.621915999679408
Florianópolis,SC,0.07355181037382219,3.683606667846376,1.0615500939471114,6.766638630502171,52.97802063508978,54.13323945426274,52.97802063508978,0.7260737840855798,4.856241194921658,0.05055439255859171,1,0.16666666666666666,7.437289391601245,6.779950949620703
Belford Roxo,RJ,0.03086409892586408,3.688150042433335,1.0141036857665309,5.889868636254827,216.92561032259235,323.710764218841,216.92561032259235,0.6700092087990068,8.201112124371036,0.006533767575072709,0,0.043478260869565716,4.2186302897822765,6.227776310518156
