"","Município","UF","Operações de Crédito por Município","Proporção Relativa de Capital de Risco","Capital Poupado per capita","Índice de Capital Disponível","V7","Tempo de Viabilidade de Localização","Tempo de Registro, Cadastro e Viabilidade de Nome","Taxa de Congestionamento em Tribunais","Índice de Tempo de Processos","Alíquota Interna do ICMS","Alíquota Interna do IPTU","Alíquota Interna do ISS","Qualidade de Gestão Fiscal","Índice de Tributação","Simplicidade Tributária","CNDs Municipais","Atualização de Zoneamento","Índice de Complexidade Burocrática","V16","Nota do IDEB","Proporção de Adultos com pelo menos o Ensino Médio Completo","Taxa Líquida de Matrícula no Ensino Médio","Nota Média no ENEM","Proporção de Matriculados no Ensino Técnico e Profissionalizante","Índice de Acesso e Qualidade da Mão de Obra Básica","Proporção de Adultos com pelo menos os Ensino Superior Completo","Proporção de Alunos Concluintes em Cursos de Alta Qualidade","Custo Médio de Salários de Dirigentes","Índice de Acesso e Qualidade da Mão de Obra Qualificada","V13","Pesquisas pelo Termo Empreendedora","Pesquisas pelo Termo Empreendedorismo","Pesquisas pelo Termo MEI","Índice de Iniciativa","Pesquisas por Sebrae","Pesquisas por Franquia","Pesquisas por SIMPLES Nacional","Pesquisas por Senac","Índice de Instituições","V12.x","Conectividade Via Rodovias","Número de Decolagens por Ano","Distância ao Porto Mais Próximo","Índice de Transporte Interurbano","Acesso à Internet Rápida","Preço Médio do m²","Custo da Energia Elétrica","Taxa de Homicídios","Índice de Condições Urbanas","V12.y","Proporção de Mestres e Doutores em C&T","Proporção de Funcionários em C&T","Média de Investimentos do BNDES e FINEP","Infraestrutura Tecnológica","Contratos de Concessão","Índice de Inputs","Patentes","Tamanho da Indústria Inovadora","Tamanho da Indústria Criativa","Tamanho das Empresas TIC","Índice de Output","V14","Índice de Desenvolvimento Humano","Crescimento Real Médio do PIB","Número de Empresas Exportadoras com Sede na Cidade","Índice de Desenvolvimento Econômico","PIB per capita","Proporção entre Grandes/Médias e Médias/Pequenas Empresas","Compras Públicas","Índice de Clientes Potenciais","V11"
"53","Mogi das Cruzes","SP",0.215373300054674,0,12037.9220544045,5.71564582855618,5.71564582855618,25.9660699600286,37.6790908189119,0.984771673995161,5.32509485567995,0.0802103444976061,0.0144190769256321,0.0115954443504789,0.757910247166773,5.91495751399006,0.0441890011946911,1,4,7.73267794910163,6.6800889651397,5,0.612155020551967,0.715030293064427,566.847068965517,0.011606944681079,6.79820976713328,0.391368173810922,0.183882270497547,5147.13652609159,6.38280919190812,6.70569733994442,0,0,0,5.77842627173879,53,0,0,0,6.48848476690688,6.16178397827712,3,83133,45,7.04219876383259,3.23647294589178,1716.90360024235,0.637558772,9.43837291230874,6.46517320450033,7.01094364751434,5.2075799218863,0.0847897454060018,0,0,155.793432663099,5.79159903432988,3.03775495443368,0.0138868797916968,0.0150441197743382,0.0109937798350933,5.68255280004934,5.71430054857082,0.783,-0.016402122073514,0.0109937798350933,6.11177833787649,35.6033205512888,0.92852306799497,5365347003.89,5.70934971239833,5.89452950798247
"54","Betim","MG",0.0936530754234476,0,9215.7709611043,5.54589160406505,5.54589160406505,12.4590861629071,41.9186853718288,0.951367614340777,5.92229417594467,0.104240103539998,0.00320971402437315,0.00456733432704075,0.862393241553471,7.76067459027107,0.0131513645022625,0,7.99999999999999,4.88306506022353,6.39574520484081,5.1,0.516695957820738,0.559718384492802,554.4577278402,0.00822244262992154,5.57363405735908,0.204745166959578,0.209601081812035,6982.71570539419,4.77329326705073,5.01223517119008,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,5,8,334,5.84286389073457,2.31099674684017,1004.98657948031,0.61805,26.4430341492898,6.08243917294493,5.94990327878692,0,0.167252915818148,0,0,79.4530032889043,5.76237185570517,7.09710922624199,0.0271767353297559,0.0119439155270902,0.00623160810109053,5.89024328101876,5.81126174557325,0.749,-0.0127566499777161,0.0102129132767873,5.66791656690687,62.3661138072636,0.96018018018018,5872748014.6,6.54660806302144,6.12649282519243
"55","Boa Vista","RR",0.422677929201435,0,5399.08970867471,5.64132587605167,5.64132587605167,13.5543932914542,21.8110678144701,0.933426510275951,6.98521582807077,0.109803462979306,0.0041510848900965,0.0092247670530753,0.865028896509141,6.20308848562938,0.0115244922138479,1,14,5.74614685006004,6.65332591435803,4.3,0.544838709677419,0.643844092440175,515.724927007299,0.0103959827213576,5.12586841506684,0.297096774193548,0.079360100376412,3852.52611434109,6.0839401473087,5.52783484862,0,0,0,5.77842627173879,79,0,0,22,8.61010000674101,7.44776808599844,3,1259,698.000000000044,6.20533760539368,1.69518153145621,1705.02691855337,0.58017,30.0051993742427,5.69142799977146,5.93076416580925,10.7804077806421,0.0244010572086282,0,0,68.1977970471057,4.76565652037029,1.8748535270682,0.00140614014530115,0.0145301148347785,0.0114834778532927,5.17180286568453,4.87939758949449,0.752,0.037389755724793,0.0370283571595969,8.11752290400388,24.2148372275196,0.735294117647059,4255190999.15,5.04401232517641,6.68489046105638
"56","Maringá","PR",0.545733677343593,0,17185.0114257043,6.09659357230179,6.09659357230179,0,17.6797090173313,0.976575114258469,6.41255079461087,0.0842502936233628,0.0151514454291442,0.0163214643603394,0.836244047762138,5.69844176121845,0.0502799527244673,1,9,7.10829460474258,6.85247033760458,5.2,0.528248587570621,0.595900579218008,553.485543981482,0.00704103077055209,5.73497407189969,0.383003766478343,0.24031683743914,4786.38676301878,6.72208178540302,6.27310577889989,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,5,2267,402.000000000004,6.05068658931702,4.24676726113015,1387.97121547883,0.55881,9.6226103850877,7.44860450256643,7.00552407564717,27.2294554108918,0.0725528208106308,108.112939241215,0,203.62592748145,6.7106030313437,8.67982640347193,0.0146297074058519,0.0151896962060759,0.0208595828083438,7.04238585469253,6.95241934049682,0.808,0.0089029764608588,0.00790984180316394,6.62516551070442,44.2453926025037,1.36296296296296,5308161867.46,6.65093037677055,6.75244028658663
"57","Santos","SP",0.346688025591369,0,31662.9759349848,6.42527377573674,6.42527377573674,6.67476839023234,37.6790908189119,0.983778255395733,5.34640137454482,0.0802103444976061,0.0227566419774098,0.0370129631690482,0.748926977637002,5.14750126276744,0.0590582390005502,1,9,7.36489740788322,5.90127938927405,5.3,0.602564102564103,0.90096339684151,566.008244084682,0.0137319904666868,7.57036231178582,0.444270015698587,0.091390377870426,6089.98112731573,6.00325425542678,6.94028721306537,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,3,36387,10,5.68852337828838,4.7920578998182,5863.2504195459,0.620119901,5.29964907106369,7.40472262166924,6.73320329822102,1.36819702037093,0.0658972632367566,0,0,110.595925813317,5.16863889833653,2.35633931286105,0.000912131346913956,0.0126178169656431,0.0110975980541198,5.03218136175995,5.02248462898769,0.84,-0.0360633369081589,0.0103374885983582,6.5330272027499,52.4276332919346,0.964312997926443,9950967755.16,6.36742432670771,6.53094443257168
"58","Diadema","SP",0.144570445885079,0,11572.8206076126,5.65426077060125,5.65426077060125,44.9508745576441,37.6790908189119,0.988591622014493,5.2500794087712,0.0802103444976061,0.0129129559790058,0.00714556896684186,0.632810576301537,6.21135638807308,0.0442654786980686,1,0,6.29053730540984,5.82659083102518,5.4,0.580056179775281,0.733251945727677,534.095145631068,0.00884316188194814,6.36101111551445,0.200374531835206,0.28898426323319,7369.82193331734,4.98907163748906,5.6116532517296,0,0,0,5.77842627173879,0,0,0,13,6.3551443840403,6.0809617773123,2,36387,44,5.53480359940465,2.44544523338377,2696.65709557673,0.59449,12.1056920032592,6.0588894200352,5.72750358268087,8.729388942774,0.160824869407422,282.60444228904,0,145.877788554801,6.48661458187386,6.59553831231814,0.0770126091173618,0.00717749757516974,0.0104752667313288,7.44449066691372,7.04919204116517,0.757,-0.00843656590007025,0.0450048496605238,8.00085960528157,35.6217483412874,1.75643348197696,4226029716.17,7.00219228681337,7.77072683056254
"59","Jundiaí","SP",0.133324887781777,0.0194032978348565,24104.4547975687,6.05173149131363,6.05173149131363,0,37.6790908189119,0.975577965753755,5.50680429072101,0.0802103444976061,0.00442558250433916,0.00726761135556381,0.742041532141583,6.91227983477403,0.0269585112287189,1,0,5.78462803942946,6.14242631565635,5.6,0.598815293484114,0.935368422573491,578.298129592518,0.0188748282886603,8.20972699266948,0.434033387183629,0.146586775090948,8823.54727425123,5.60991685028399,7.08729653303855,48,0,0,10.8011741944778,0,40,0,0,7.89039888176064,10.0559930331059,6,367,106,5.58976226998165,3.9795191305468,1907.07574393619,0.61994,9.36910770960451,6.80313350342184,6.26350197204262,0,0.107652198076122,281.546121019805,0,186.01597548966,6.07713206613682,6.89353320932268,0.015647226173542,0.0137870664186454,0.0200240726556516,6.73729732442732,6.4424890021957,0.822,-0.00165234091862913,0.027464711675238,7.86970262526971,109.975342850785,0.947647393138105,7577458708.93,7.94620447992351,8.25002075784518
"60","Rio Branco","AC",0.440815065801024,0,6541.37686314525,5.68953929743638,5.68953929743638,10.4926049636747,49.3193646814632,0.960002887420976,5.63202256095897,0.108726779580433,0.00487162512034299,0.0101490395484538,0.833643150649284,5.92340513706286,0.0141073491030877,0,11,4.71404956905754,4.79009691394331,4.8,0.436842105263158,0.662157292882877,522.833508522727,0.0111274937518381,5.0287848333885,0.28005540166205,0.16374269005848,4282.1909120455,6.039243988819,5.44311683056564,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,4,1319,504.000000000021,6.01707769822359,2.10645794989653,1013.88087360266,0.64018,49.5885107235154,5.74266514901802,5.83886761366566,7.94502898861928,0.0295747595132012,0,0,59.6950826712476,4.66093295482725,2.36203564526519,0.00622718488297187,0.011810178226326,0.00773029847541336,4.87593617534519,4.66175222371031,0.727,-0.00215016545687419,0.00214730513205927,5.03278314975223,21.7989662702765,0.85492500657837,2651081844.51,5.12497574662628,4.91373646951133
"61","Montes Claros","MG",0.417131286865222,0,6276.85210717691,5.66554631997065,5.66554631997065,28.2083115324196,41.9186853718288,0.951105077192595,5.92710942346926,0.104240103539998,0.00458835533146636,0.0100600952386847,0.822940819540945,6.03042383945717,0.0134726347139958,0,11,4.69549589168677,5.05825901523327,4.9,0.552816901408451,0.634023551134494,579.294853466762,0.00710760025018882,6.15296347700354,0.370305164319249,0.10125348189415,3939.81257428279,6.56450647073116,6.4287116897915,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,4,1153,539.000000000024,6.0877046060992,1.66535961176397,1932.34880407362,0.61805,7.90460814701613,6.06900669358927,6.10510099447383,5.20346897931955,0.047840316780476,0,0,95.130086724483,5.00841605373586,1.73448965977318,0.00360240160106738,0.0120080053368913,0.0141427618412275,5.2597005628716,5.05904752564756,0.77,-0.0179918592756886,0.00160106737825217,5.33243618413948,23.2688620717738,0.909236596736597,3453142625.74,5.27413170127157,5.17837329472556
"62","Campina Grande","PB",0.409914465948901,0,7101.07837517821,5.6869671474785,5.6869671474785,16.2574861805238,62.2716803128018,0.934446875414497,6.04421407993682,0.110259918407084,0.00385037040347021,0.00820106953081345,0.565165828317573,5.602278891142,0.0107769723668963,0,0,4.09146982849304,4.41848608081904,4.1,0.472491909385113,0.68397955691769,557.853555973659,0.0152599659636589,5.53194451464955,0.234223300970874,0.293563579277865,3439.51559482487,6.9120054635965,6.26527458879315,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,4,873,128,5.19737091995883,2.39320010632385,2261.66339340216,0.568994603,25.614382717541,5.9490276477615,5.42751824791684,54.7205603385379,0.0577110377811051,2338.49303808551,1,92.3683058514519,7.4519151410517,30.0598278126368,0.00963081861958266,0.0156135998832628,0.0118196410331242,8.21569802830691,7.99265708059132,0.72,-0.00988678903352724,0.00204290091930541,4.81920934734198,22.9805427349395,0.894875017455663,3354541634.49,5.24042331413203,4.8558770774093
"63","Piracicaba","SP",0.287180227708944,0.395798990816763,22325.0856620559,6.23129291721007,6.23129291721007,13.0055668552017,37.6790908189119,0.992346815664319,5.17801985729188,0.0802103444976061,0.00577492811583361,0.00805020632822781,0.658158375180949,6.38233206649386,0.0326975475251814,1,13,6.39681233902768,5.97005119341709,5.5,0.597677595628415,0.825717847617166,580.943954248366,0.0132978978433333,7.59961068097964,0.360997267759563,0.162285313704872,6769.91398464759,5.59720687385533,6.71513751610843,0,0,0,5.77842627173879,0,0,0,16,6.57252222531027,6.21272197774609,7,49496,205,7.37280042684293,3.88596185485345,957.533652824666,0.67864,7.55590762293583,7.10040793501914,7.65869761076225,24.4136460554371,0.152260582407685,0,1,106.716417910448,7.3808028354779,4.79744136460554,0.03272921108742,0.0107675906183369,0.00991471215351812,6.06099822541752,6.78334735974889,0.785,0.0295475426196697,0.0173773987206823,7.21563439724895,67.8145877764914,0.839266793812248,5196858184.87,6.49446381356726,7.00834647338606
"64","Carapicuíba","SP",0.122672498213859,0,3159.0744150478,5.37267447548312,5.37267447548312,21.0568053947172,37.6790908189119,0.984790946108042,5.32485903173656,0.0802103444976061,0.0122305253289227,0,0,2.95422808980237,0.0390226501817118,0,21,5.19225369042876,2.83376668617818,5,0.564406779661017,0.733085885981021,520.441549925484,0.00534031980626804,5.72679839500019,0.185310734463277,0,4060.65385595921,4.92070715132703,5.19184046035877,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,2,36387,72.0000000000005,5.59493722064533,2.40611285846438,1786.62181187115,0.59449,9.37403638606229,6.38596168667299,5.98718953999889,0,0.0544783196464962,0,0,119.827275998561,5.10042514107138,11.1550917596258,0.0194314501619288,0.0100755667506297,0.00827635840230299,6.0538831742102,5.54052582817886,0.749,0.00217860182377142,0.0115149334292911,5.97006295303076,15.1875942028986,2.02315789473684,1883291726.72,6.77821465287374,6.44121622972019
"65","Anápolis","GO",0.35931962947053,0,8132.96747249865,5.6864221661431,5.6864221661431,0,13.9321303950133,0.861430328425742,9.48940665325432,0.114798797862806,0.00760326205346434,0.00708408087370252,0.716643739594494,5.76731747052773,0.023816421142632,0,0,4.47263296239296,7.20908811866681,5.5,0.422039243167484,0.728496150599395,551.524049881235,0.00664787089598454,5.72100180563962,0.194989488437281,0.182884180209833,5308.49512108262,5.0969993316493,5.29371713565921,0,0,0,5.77842627173879,0,0,0,0,5.4131737385371,5.51000090876583,6,7909,889.000000000022,7.4776305838766,1.92003550839037,1806.42204476523,0.63689,24.7146467066472,5.45962702740837,6.62858713583543,6.46203554119548,0.0777931962491064,0,0,114.70113085622,5.45369952145309,4.17339795368875,0.0135971997845988,0.0102315562735595,0.0102315562735595,5.37143980428457,5.36168447075171,0.737,-0.00599601226036806,0.00713516424340334,5.41810129480218,37.1685639781502,0.909429629282467,4128322043.03,5.69331985441335,5.476056202593
