,,Inputs,Inputs,Inputs,Inputs,Inputs,Output,Output,Output,Output,Output,Índice de Inovação
Maceió,AL,9.92674744985281,0.041056589149709506,32457.239522722084,106.04504689532416,5.307325038987401,8.557540905045526,0.005750667488190594,0.0491545149585815,0.038611624563565414,5.607315540332524,5.398102207268797
Duque de Caxias,RJ,5.716463414634147,0.0538804567758229,26135.10004890201,123.72967479674797,5.4122232006717095,6.097560975609756,0.029979674796747968,0.036839430894308946,0.031377032520325206,5.671422953195981,5.491826074534655
Campo Grande,MS,8.433668090772901,0.044212611722479596,27064.988618664844,114.35388115186151,5.334334693305371,6.380735726571603,0.006769128336015092,0.06724740609221551,0.04405481884259002,5.710864179328278,5.470504719350043
Natal,RN,22.985649499906813,0.04392861392687051,60112.018362101546,105.54761756849102,6.0151188209679125,6.088090948623966,0.0043486363918742625,0.05591103932409766,0.04963657824439337,5.552592419779656,5.760269598200461
Teresina,PI,12.389000286450873,0.04250907816498847,22259.004205348483,78.98882841592666,5.11600368814336,3.5090232025207677,0.006230306502434832,0.046548266972214265,0.03594958464623317,5.131570718422271,5.028173454326401
São Bernardo do Campo,SP,4.607946819761294,0.14341555427405908,56994.81851401406,168.0012086417888,6.920441379087772,6.269829279347333,0.032557788185526515,0.13400815833207433,0.18008762652968727,8.286742434330785,7.778578433465206
João Pessoa,PB,17.672951842848697,0.04520378003533064,46655.02886809156,109.848235989751,5.783415207841985,17.870047960055185,0.0032849352867748505,0.05407003482031404,0.04428092766572499,6.461335239736148,6.135729004936398
Nova Iguaçu,RJ,0.0,0.034234015913405226,7714.8386031146765,109.83115038661828,4.734239956443595,1.4202303929304088,0.01325548366735048,0.03613697333122929,0.02998264162853085,4.914986678173893,4.69635323297009
São José dos Campos,SP,26.33946830265849,0.14107008977671895,22017.682446584655,171.37014314928425,7.6808333851562,10.961145194274028,0.017586912065439674,0.09014314928425358,0.12752556237218815,7.368477415872732,7.691028248817986
Santo André,SP,9.77198697068404,0.0765977553844968,61538.38561272258,145.62643997775484,6.211249346646722,6.67355207754032,0.026773655358703425,0.1070946214348137,0.16898387224914593,7.777669197692941,7.10297626661783
Ribeirão Preto,SP,9.04474769914313,0.06403118880148219,27439.97545994345,168.6237173384111,6.106747938307231,5.236432878451286,0.019834973024436688,0.09240452766317571,0.06955463873902465,6.416240903986556,6.29002911275459
Jaboatão dos Guararapes,PE,0.0,0.05956078517278339,57090.3609615132,81.87849162011173,4.971126799842983,2.2695530726256985,0.018680167597765363,0.031773743016759774,0.02409217877094972,4.989470090088043,4.869026972032435
Uberlândia,MG,17.104942780618455,0.06980869470294462,24964.02636347841,143.29194058923787,6.25212444410122,6.087168249330412,0.012843925006087168,0.07055028000973947,0.09422936449963477,6.313683708004014,6.313775023621273
