,,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Transporte Interurbano,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Condições Urbanas,Índice de Infraestrutura
,,Conectividade Via Rodovias,Número de Decolagens por Ano,Distância ao Porto Mais Próximo,Índice de Transporte Interurbano,Acesso à Internet Rápida,Preço Médio do m²,Custo da Energia Elétrica,Taxa de Homicídios,Índice de Condições Urbanas,
Município,UF,,,,,,,,,,
Porto Alegre,RS,5,18869,6.000000000000003,7.790331925837058,4.036314177939472,2388.1543351967557,0.6297,21.70810636972121,6.231289087145072,7.5072581378873044
Porto Velho,RO,3,2385,54.00000000000006,5.083513207056737,2.6175986242877336,1510.4542082391324,0.54603,31.150264504000347,6.340654834927335,5.570677491378667
Praia Grande,SP,2,18,24.00000000000004,5.1101833114312045,4.514477462000749,4556.532076366655,0.620542118,11.294263108775642,6.603592864432768,5.786600364056433
Recife,PE,9,30800,7.0000000000000036,8.617624814069728,1.7087434987119337,6278.22840184656,0.7358,46.29693735825702,4.425957903448939,6.778063016479174
Ribeirão Preto,SP,7,3320,344.0000000000055,5.739397945286564,4.134464447394587,2074.3953401522854,0.67864,9.85952263246477,6.476119859270589,6.1606834133066295
Ribeirão das Neves,MG,2,8,351.000000000006,4.617655490964691,1.9776752632426813,1116.5668861439117,0.61805,19.624211004203097,5.96452172495163,4.942915157851572
Rio Branco,AC,4,1319,504.0000000000214,5.054744621217162,2.1064579498965315,1013.880873602658,0.64018,49.58851072351544,5.742665149018023,5.1033858973977715
Rio de Janeiro,RJ,4,42453,24.00000000000004,6.588110418460731,3.049845171492073,4252.9999393994485,0.8022,16.087228791829933,5.052555870873245,5.732091892525559
Salvador,BA,5,20480,5.0,8.253402529118546,2.033387706662612,2715.6900528043384,0.74949,44.71921881696462,4.683314431130084,6.698387211136634
Santa Maria,RS,5,266,184.00000000000176,5.279747729644428,3.7813290129366424,942.5616389947747,0.644020688,18.93680367794809,6.666982851796604,5.9602839681087945
Santarém,PA,2,2031,80.0,4.790709453966466,0.9707335108435845,4812.757516608452,0.76597,15.567281466178459,4.380476420298127,3.890923628016849
Santo André,SP,3,36387,30.000000000000032,6.122904853724954,4.011396774919912,4317.442109156943,0.59449,7.874135399211758,6.86140836671314,6.733873511507912
Santos,SP,3,36387,10.0,6.968357398938834,4.792057899818199,5863.250419545903,0.620119901,5.299649071063685,7.4047226216692374,7.7692951101863645
Serra,ES,4,9029,18.000000000000018,5.927207936785602,2.3674550315314895,1732.7357247437774,0.61051,38.005458627145956,5.698144518757589,5.720674371409983
Sorocaba,SP,7,49496,130.00000000000156,6.956471719855463,3.8577088798380044,1626.861248427506,0.620400308,10.498642367343182,6.748658297888299,7.27129223474436
Sumaré,SP,2,49496,159.00000000000074,5.900614470084638,3.2785993962915048,2388.9585235920854,0.67864,11.384217335058215,5.993759713792163,5.921248656449295
Suzano,SP,4,83133,39.000000000000064,7.403627329916398,2.2702564626545416,1372.936424097246,0.637468135,9.22883219016668,6.241846619034922,7.226814513853868
São Bernardo do Campo,SP,8,36387,31.000000000000036,7.147333229442696,3.1392124008970743,3077.512385802676,0.59449,7.765857056457781,6.622811275142041,7.3197650265002565
São Gonçalo,RJ,5,42453,14.000000000000007,7.173157531849645,1.030252458899975,1714.9940341338167,0.83802,41.33446593411796,4.188121051594458,5.523789055038234
São José do Rio Preto,SP,5,2559,472.0000000000022,5.295116844189617,3.8735391849062073,1843.831649948716,0.685554926,9.804485765378656,6.400313437608074,5.77292223252206
São José dos Campos,SP,7,11,104.00000000000016,5.741605147458396,3.9039508483541523,2155.607293186962,0.63592,8.273317871722885,6.7350230322749,6.355359237975913
São José dos Pinhais,PR,3,13739,47.000000000000114,5.402829186696528,3.456308648616341,1124.128912035931,0.55881,17.930787161556392,6.940978469673674,6.256332361310161
São João de Meriti,RJ,4,42453,24.00000000000004,6.588110418460731,2.0527160767662687,1468.5662749794178,0.8022,26.828057500765766,4.879005918960493,5.60269841290171
São Luís,MA,4,4045,12.000000000000005,6.1546653401952085,2.1823417555908424,3264.8007673124876,0.64207,36.2029227587344,5.220958087416417,5.534484127442695
São Paulo,SP,16,36387,50.0,8.652782583121791,3.6755228061887784,5761.172658086871,0.594588207,2.4281297786158724,8.773293096336479,10.045514303688213
São Vicente,SP,2,18,20.0,5.2158648795829405,2.5595959432530018,3308.114511083911,0.61994,7.550446420144592,6.2549392835110185,5.6054479417306275
Taboão da Serra,SP,1,36387,63.00000000000029,5.486250923332074,2.4758812615955472,2301.6487956084297,0.59449,5.041542308623054,6.976177643186721,6.344772445280858
Taubaté,SP,4,11,119.00000000000023,5.103395700815162,3.118078673399414,1384.820584342579,0.63592,5.610622779128483,7.081965983140029,6.138199941927704
Teresina,PI,6,3036,332.0000000000093,5.526005275555333,2.501982491625781,2638.079034698808,0.62804,40.40747262738111,5.463047358696793,5.2462688930248635
Uberaba,MG,3,430,517.0000000000183,4.824235713785063,4.037002207025453,1388.3726287875363,0.61805,13.812276468876828,6.755422323520847,5.686606025611295
Uberlândia,MG,5,3771,588.000000000015,5.320168475256707,4.12217289345978,2318.749738920873,0.61805,5.943982213340844,7.23875803151235,6.41671832672825
Vila Velha,ES,6,9029,20.0,6.2719794408546425,3.0021723958282136,3051.2428359216747,0.61051,28.50655159194346,5.786774519523074,6.0438051367411285
Vitória,ES,2,9029,118.00000000000055,4.914911047441762,3.7961730179090423,4392.2017553793885,0.61051,34.36760893449588,5.95866791442332,5.160175292246367
Vitória da Conquista,BA,4,1491,205.00000000000023,5.09575212660059,2.1169207578795435,1916.709350088484,0.74949,56.16293653588171,4.816135949889292,4.4431682944928115
Várzea Grande,MT,4,8574,1122.0,5.222572409331714,1.6562264319880984,370.719199594969,0.82512,21.69548492852543,6.480379005800525,5.778529757054025
